Co ID,Company,Site (FB/Tw/LI),Job/Career (Yes/No),FB Tab,URL,Start Year,Notes
58,Perkins Coie,LI,1,,https://www.linkedin.com/company/6765?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427855535320%2Ctas%3APERKINS+COIE,, 
58,Perkins Coie,TW,0,,https://twitter.com/PerkinsCoieLLP,2009, 
58,Perkins Coie,FB,0,,https://www.facebook.com/PerkinsCoieLlp?fref=ts,, 
59,Ernst & Young,FB,1,,https://www.facebook.com/eyuscareers,, 
59,Ernst & Young,LI,1,,https://www.linkedin.com/company/1073?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-2-5%2CtarId%3A1427855796989%2Ctas%3AERNST+%26+YOUN,, 
59,Ernst & Young,TW,1,,https://twitter.com/EY_CareersUS,2008, 
60,American Express,FB,0,1,https://www.facebook.com/AmericanExpressUS?fref=ts,, 
60,American Express,TW,0,,https://twitter.com/AmericanExpress,2009, 
60,American Express,LI,1,,https://www.linkedin.com/company/1277?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1427855880937%2Ctas%3AAMERICAN+EXPRESS,, 
61,Nordstrom,LI,1,,https://www.linkedin.com/company/3379?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427855924493%2Ctas%3ANORDSTROM+,, 
61,Nordstrom,TW,1,,https://twitter.com/JobsAtNordstrom,2012, 
61,Nordstrom,FB,0,,https://www.facebook.com/Nordstrom?fref=ts,, 
62,Build-A-Bear Workshop,FB,0,,https://www.facebook.com/Buildabear?fref=ts,, 
62,Build-A-Bear Workshop,TW,0,,https://twitter.com/buildabear,2008, 
62,Build-A-Bear Workshop,LI,0,,https://www.linkedin.com/company/17574?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-5%2CtarId%3A1427856098480%2Ctas%3ABUILD-A-BEAR,, 
63,General Mills,LI,1,,https://www.linkedin.com/company/2822?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427856134261%2Ctas%3AGENERAL+MILLS,, 
63,General Mills,TW,1,,https://twitter.com/GenMillsCareers,2010, 
63,General Mills,FB,1,,https://www.facebook.com/generalmillscareers?fref=ts,, 
64,TDIndustries,LI,1,,https://www.linkedin.com/company/23004?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427856304175%2Ctas%3ATDINDUSTRIES,, 
64,TDIndustries,TW,0,,https://twitter.com/tdindustries,2014, 
65,Atlantic Health,FB,1,,https://www.facebook.com/atlantichealthcareers?fref=ts,, 
65,Atlantic Health,TW,1,,https://twitter.com/ahcareers,2009, 
