Company Name,fbId,fbPhotoId,2007 count(*),2008 count(*),2009 count(*),2010 count(*),2011 count(*),2012 count(*),2013 count(*),2014 count(*),2015 count(*),2016 count(*),2007 commentsCount,2008 commentsCount,2009 commentsCount,2010 commentsCount,2011 commentsCount,2012 commentsCount,2013 commentsCount,2014 commentsCount,2015 commentsCount,2016 commentsCount,2007 likesCount,2008 likesCount,2009 likesCount,2010 likesCount,2011 likesCount,2012 likesCount,2013 likesCount,2014 likesCount,2015 likesCount,2016 likesCount,2007 reactionsCount,2008 reactionsCount,2009 reactionsCount,2010 reactionsCount,2011 reactionsCount,2012 reactionsCount,2013 reactionsCount,2014 reactionsCount,2015 reactionsCount,2016 reactionsCount,2007 hasPlace,2008 hasPlace,2009 hasPlace,2010 hasPlace,2011 hasPlace,2012 hasPlace,2013 hasPlace,2014 hasPlace,2015 hasPlace,2016 hasPlace,2007 hasCaption,2008 hasCaption,2009 hasCaption,2010 hasCaption,2011 hasCaption,2012 hasCaption,2013 hasCaption,2014 hasCaption,2015 hasCaption,2016 hasCaption,2007 hasEvent,2008 hasEvent,2009 hasEvent,2010 hasEvent,2011 hasEvent,2012 hasEvent,2013 hasEvent,2014 hasEvent,2015 hasEvent,2016 hasEvent,2007 updatedLater,2008 updatedLater,2009 updatedLater,2010 updatedLater,2011 updatedLater,2012 updatedLater,2013 updatedLater,2014 updatedLater,2015 updatedLater,2016 updatedLater
American Express,6185812851,88357,0,0,422,589,74,190,472,565,473,185,0,0,173,562,199,12547,10127,6434,4720,1223,0,0,1064,1980,1018,273308,309942,209730,66633,6742,0,0,1064,1980,1018,273309,309942,209730,66637,6907,0,0,0,0,0,11,17,10,20,0,0,0,299,568,35,167,423,496,366,173,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,46,252,240,85,17
American Fidelity Assurance,333011163569,75644,0,0,0,0,0,42,112,161,300,97,0,0,0,0,0,12,7,54,56,29,0,0,0,0,0,79,130,1872,2965,1043,0,0,0,0,0,79,130,1872,2965,1061,0,0,0,0,0,31,43,22,0,0,0,0,0,0,0,17,8,104,272,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,54,81,54
PCL Construction Enterprises,109150299248234,55633,0,0,0,0,0,34,147,182,307,82,0,0,0,0,0,4,242,189,256,92,0,0,0,0,0,31,2734,3613,5560,1893,0,0,0,0,0,31,2734,3613,5560,1906,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,33,111,116,166,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,119,208,57
Methodist Hospital System,113508065350010,81864,0,0,0,0,7,31,181,44,4,8,0,0,0,0,8,2,8,3,5,25,0,0,0,0,15,16,151,173,56,185,0,0,0,0,15,16,151,173,56,193,0,0,0,0,0,25,151,0,0,0,0,0,0,0,0,5,17,16,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,21,3,5
FactSet Research Systems,47276510407,104954,0,51,120,142,131,123,157,126,88,23,0,1,13,63,115,171,155,81,51,15,0,7,62,427,1215,3848,7056,5877,4019,1866,0,7,62,427,1215,3848,7056,5877,4019,1902,0,0,0,0,7,34,44,35,15,1,0,37,46,137,128,108,133,107,80,22,0,0,0,0,0,0,0,0,0,0,0,50,4,2,0,8,29,31,25,20
Autodesk,74463019717,81845,0,0,0,0,11,262,76,200,230,37,0,0,0,0,53,457,30,15,32,3,0,0,0,0,247,1494,585,431,1977,135,0,0,0,0,247,1494,585,431,1977,136,0,0,0,0,0,25,17,60,49,0,0,0,0,0,10,251,48,49,123,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,110,86,5
Hyatt Hotels,26114710769,185425,0,4,68,74,18,11,80,149,148,73,0,4,54,306,50,20,351,164,127,40,0,12,165,1152,335,170,8759,9031,7114,1181,0,12,165,1152,335,172,8770,9038,7119,1224,0,0,0,0,0,0,0,1,1,0,0,3,56,48,12,3,65,121,116,41,0,0,0,0,0,0,0,0,0,0,0,1,8,18,2,6,55,88,86,52
Burns & McDonnell,193157160706830,51026,0,0,0,0,2,62,80,89,26,5,0,0,0,0,0,10,29,3,4,0,0,0,0,0,0,138,255,315,92,14,0,0,0,0,0,138,255,315,92,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,63,71,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,39,65,10,4
Arkansas Children's Hospital,112657538333,146594,0,0,4,72,211,127,166,279,296,179,0,0,38,389,928,729,3373,1680,3599,751,0,0,83,2821,6906,15273,48113,58080,136460,16489,0,0,83,2821,6906,15273,48113,58080,136505,17232,0,0,0,0,0,11,2,32,9,10,0,0,3,55,200,107,146,195,220,143,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11,37,118,131,204,127
OhioHealth,40814021698,117098,0,28,24,47,609,710,1531,914,631,220,0,0,0,7,95,404,568,259,638,127,0,0,3,27,216,2507,6484,7018,16255,2364,0,0,3,27,216,2507,6484,7018,16255,2426,0,0,0,0,0,377,784,358,53,77,0,27,10,35,352,411,486,728,283,76,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,65,394,211,226,101
Grainger,265544390144768,157449,0,0,0,0,7,3,3,60,296,37,0,0,0,0,3,2,1,25,66,12,0,0,0,0,12,2,15,527,1210,201,0,0,0,0,12,2,15,527,1210,207,0,0,0,0,0,0,0,0,128,0,0,0,0,0,6,0,1,59,138,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,57,17
Marriott International,143602039041041,85903,0,0,0,0,29,278,365,428,239,58,0,0,0,0,359,10247,8861,2933,1053,124,0,0,0,0,1715,95588,102866,80986,36452,3932,0,0,0,0,1715,95589,102937,80987,36455,4077,0,0,0,0,0,1,3,24,0,9,0,0,0,0,16,266,316,342,171,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,173,191,132,19
LifeBridge Health,193538150681786,164075,0,0,0,0,159,875,629,480,756,775,0,0,0,0,19,281,357,158,221,121,0,0,0,0,122,2858,5554,2156,4162,3283,0,0,0,0,122,2858,5554,2156,4162,3304,0,0,0,0,0,157,303,72,22,55,0,0,0,0,99,509,365,314,483,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,303,293,372,114
Hitachi Data Systems,124570004251813,111729,0,0,0,4,29,98,223,309,292,66,0,0,0,3,19,212,139,175,105,1,0,0,0,18,31,1670,2048,3039,1385,56,0,0,0,18,31,1670,2048,3039,1385,58,0,0,0,0,0,30,6,0,96,14,0,0,0,2,18,54,183,229,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,68,87,44
