companyString,date,twitteruserid,id,count(*),favoriteCount,retweetCount,isReply,isRetweet,isStatusQuote,hasPlace,hasCoords,possiblySensitive,hasExtendedMediaEntities,hasHashtagEntities,hasMediaEntities,hasMentionEntities,hasUrlEntities
Millennium: The Takeda Oncology Company,2014,33,321974233,615,502,2720,8,39,0,0,0,0,61,392,61,386,459
Millennium: The Takeda Oncology Company,2015,33,321974233,867,3466,4640,43,125,1,3,3,0,149,780,149,464,453
Millennium: The Takeda Oncology Company,2016,33,321974233,341,5730,9088,20,82,6,0,0,0,122,300,122,205,189
Plante Moran,2012,34,632233073,31,0,37,3,13,0,0,0,0,0,11,0,20,20
Plante Moran,2013,34,632233073,6,1,1,0,0,0,0,0,0,0,0,0,1,6
Plante Moran,2014,34,632233073,10,2,4,0,0,0,0,0,0,3,1,3,3,8
St. Jude Children's Research Hospital,2014,35,9624042,1772,66429,99903,1057,276,0,0,0,0,259,495,259,1514,442
St. Jude Children's Research Hospital,2015,35,9624042,1189,59797,60733,474,193,71,0,0,0,387,399,387,849,521
St. Jude Children's Research Hospital,2016,35,9624042,270,25313,61217,72,33,20,0,0,0,118,98,118,155,133
SVB Financial Group,2014,36,17396865,703,959,1975,132,173,1,0,0,0,86,394,86,594,511
SVB Financial Group,2015,36,17396865,1920,4177,7372,263,329,60,3,3,0,283,1172,283,1486,1541
SVB Financial Group,2016,36,17396865,619,2127,6175,33,112,27,0,0,0,176,424,176,474,543
Adobe,2013,37,244264669,47,15,30,14,8,0,0,0,0,5,30,5,30,26
Adobe,2014,37,244264669,1350,913,1244,446,145,0,0,0,0,182,794,182,1069,768
Adobe,2015,37,244264669,1368,1237,1441,453,66,0,0,0,0,297,790,297,1081,844
Adobe,2016,37,244264669,439,493,383,71,6,0,0,0,0,113,306,113,303,366
Novo Nordisk,2007,38,194037150,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Novo Nordisk,2013,38,194037150,432,189,3080,39,158,0,0,0,0,65,318,65,252,309
Novo Nordisk,2014,38,194037150,461,465,1978,152,187,0,1,1,0,146,294,146,358,245
Novo Nordisk,2015,38,194037150,531,1717,5038,106,181,49,5,5,0,197,373,197,371,331
Novo Nordisk,2016,38,194037150,152,1951,1313,40,16,21,0,0,0,34,86,34,79,88
Balfour Beatty Construction,2011,39,295763337,49,6,585,2,22,0,0,0,0,0,17,0,30,19
Balfour Beatty Construction,2012,39,295763337,83,13,366,10,20,0,0,0,0,7,15,7,38,52
Balfour Beatty Construction,2013,39,295763337,224,161,765,53,42,0,0,0,0,31,102,31,135,133
Balfour Beatty Construction,2014,39,295763337,352,390,1927,98,122,0,0,0,0,74,165,74,268,181
Balfour Beatty Construction,2015,39,295763337,221,445,1649,14,136,2,0,0,0,89,97,89,184,136
Balfour Beatty Construction,2016,39,295763337,133,693,1034,5,59,4,0,0,0,58,69,58,85,87
National Instruments,2009,40,44682474,25,0,13,1,2,0,0,0,0,0,8,0,20,0
National Instruments,2010,40,44682474,248,26,269,21,32,0,0,0,0,0,117,0,117,0
National Instruments,2011,40,44682474,300,44,306,54,22,0,0,0,0,2,144,2,168,80
National Instruments,2012,40,44682474,339,67,543,66,29,0,0,0,0,15,170,15,207,228
National Instruments,2013,40,44682474,515,288,1061,88,17,0,0,0,0,55,327,55,282,331
National Instruments,2014,40,44682474,769,914,1936,79,53,0,0,0,0,110,439,110,380,560
National Instruments,2015,40,44682474,890,2071,4077,125,71,64,0,0,0,284,478,284,489,651
National Instruments,2016,40,44682474,185,1895,1817,43,17,9,0,0,0,90,102,90,102,118
Intel,2014,41,2803191,329,18278,9618,229,9,0,0,0,0,57,111,57,257,98
Intel,2015,41,2803191,2196,237543,145097,1229,129,16,0,0,0,694,1097,694,1585,700
Intel,2016,41,2803191,719,196851,108593,127,76,63,0,0,0,442,580,442,465,328
American Fidelity Assurance,2012,42,317976536,514,5,119,53,15,0,0,0,0,1,270,1,114,111
American Fidelity Assurance,2013,42,317976536,1212,100,276,83,28,0,0,0,0,6,800,6,302,441
American Fidelity Assurance,2014,42,317976536,711,144,372,17,37,0,0,0,0,51,262,51,211,420
American Fidelity Assurance,2015,42,317976536,644,161,502,53,55,6,0,0,0,199,171,199,263,308
American Fidelity Assurance,2016,42,317976536,120,57,66,4,12,1,0,0,0,75,53,75,35,60
PricewaterhouseCoopers,2013,43,61215722,708,426,1052,68,85,0,2,2,0,114,493,114,465,304
PricewaterhouseCoopers,2014,43,61215722,737,794,1789,30,65,0,4,4,0,129,489,129,516,294
PricewaterhouseCoopers,2015,43,61215722,1061,1814,15026,16,160,5,0,0,0,201,875,201,697,604
PricewaterhouseCoopers,2016,43,61215722,716,2489,4763,19,212,22,0,0,0,238,619,238,541,395
Allianz Life Insurance,2015,44,222480935,1934,88,183,1,1,1,0,0,0,41,1915,41,8,1922
Allianz Life Insurance,2016,44,222480935,1314,64,56,1,1,0,0,0,0,36,1301,36,3,1307
Autodesk,2011,45,234518712,60,0,5967,2,45,0,0,0,0,0,19,0,48,21
Autodesk,2012,45,234518712,118,3,1010,21,37,0,0,0,0,14,69,14,75,74
Autodesk,2013,45,234518712,68,10,691,3,5,0,0,0,0,5,54,5,40,61
Autodesk,2014,45,234518712,378,114,3338275,21,18,0,12,12,0,152,238,152,189,334
Autodesk,2015,45,234518712,282,137,623,13,19,1,0,0,0,201,139,201,103,235
Methodist Hospital System,2010,46,228872206,9,0,115,0,7,0,0,0,0,0,3,0,7,1
Methodist Hospital System,2011,46,228872206,98,1,207,0,16,0,0,0,0,0,5,0,20,40
Methodist Hospital System,2012,46,228872206,183,0,141,1,3,0,0,0,0,0,4,0,8,171
Methodist Hospital System,2013,46,228872206,163,5,96,1,7,0,1,1,0,2,7,2,8,144
Methodist Hospital System,2014,46,228872206,238,7,10,1,0,0,0,0,0,0,3,0,2,231
Methodist Hospital System,2015,46,228872206,270,21,122,2,3,0,0,0,0,2,32,2,8,249
Methodist Hospital System,2016,46,228872206,114,11,3,1,0,0,0,0,0,0,6,0,3,107
Baker Donelson,2011,47,59338183,231,1,139,4,17,0,0,0,0,0,116,0,100,104
Baker Donelson,2012,47,59338183,589,11,3081,13,77,0,0,0,0,19,338,19,375,455
Baker Donelson,2013,47,59338183,432,25,429,0,135,0,0,0,0,21,146,21,163,375
Baker Donelson,2014,47,59338183,547,110,471,0,97,0,0,0,0,9,176,9,129,506
Baker Donelson,2015,47,59338183,1026,210,729,0,111,1,0,0,0,101,442,101,216,955
Baker Donelson,2016,47,59338183,422,83,283,0,78,0,0,0,0,34,119,34,91,397
Men's Wearhouse,2015,48,68464500,1592,2181,890,1422,7,1,0,0,0,131,124,131,1394,195
Men's Wearhouse,2016,48,68464500,1649,10879,7007,1481,8,2,0,0,0,129,165,129,1513,177
Scripps Health,2013,49,1100931295,406,21,770,6,303,0,0,0,0,12,366,12,371,230
Scripps Health,2014,49,1100931295,226,42,363,10,106,0,0,0,0,1,191,1,200,145
Scripps Health,2015,49,1100931295,163,28,455,11,127,15,0,0,0,27,133,27,145,104
Scripps Health,2016,49,1100931295,36,4,117,0,31,4,0,0,0,16,28,16,33,29
Marriott International,2015,50,14140913,2232,10503,10298,1289,148,23,0,0,0,603,610,603,1724,825
Marriott International,2016,50,14140913,968,8890,5897,523,51,5,0,0,0,297,318,297,722,341
Perkins Coie,2009,51,32614197,127,3,1,1,0,0,0,0,0,0,103,0,5,0
Perkins Coie,2010,51,32614197,173,15,19,0,0,0,0,0,0,0,172,0,0,0
Perkins Coie,2011,51,32614197,186,4,43,0,0,0,0,0,0,0,176,0,0,64
Perkins Coie,2012,51,32614197,207,18,44,0,0,0,0,0,0,0,175,0,3,206
Perkins Coie,2013,51,32614197,315,11,108,2,4,0,0,0,0,0,113,0,9,309
Perkins Coie,2014,51,32614197,485,117,241,5,4,0,0,0,0,1,268,1,16,478
Perkins Coie,2015,51,32614197,498,165,363,13,30,2,0,0,0,19,372,19,69,467
Perkins Coie,2016,51,32614197,172,124,160,10,9,10,0,0,0,6,150,6,35,167
Ernst & Young,2013,52,70001932,103,177,1143,4,52,0,0,0,0,16,62,16,60,77
Ernst & Young,2014,52,70001932,593,2198,7626,4,151,0,0,0,0,103,399,103,315,477
Ernst & Young,2015,52,70001932,1407,8960,21400,5,214,1,0,0,0,461,1137,461,702,1097
Ernst & Young,2016,52,70001932,1144,9339,13272,228,129,11,0,0,0,459,918,459,657,672
Ernst & Young,2008,53,15723011,123,15,1,12,0,0,0,0,0,0,0,0,13,0
Ernst & Young,2009,53,15723011,151,23,5,58,0,0,0,0,0,0,0,0,67,0
Ernst & Young,2010,53,15723011,51,31,155,0,0,0,0,0,0,0,0,0,1,0
Ernst & Young,2011,53,15723011,51,46,268,0,0,0,0,0,0,0,0,0,0,22
Ernst & Young,2012,53,15723011,136,154,724,6,6,0,0,0,0,2,7,2,13,125
Ernst & Young,2013,53,15723011,680,379,2421,59,334,0,0,0,0,78,496,78,492,392
Ernst & Young,2014,53,15723011,603,1167,3497,62,231,1,0,0,0,111,478,111,448,355
Ernst & Young,2015,53,15723011,418,607,2765,37,164,15,0,0,0,122,356,122,275,270
Ernst & Young,2016,53,15723011,150,300,1011,11,46,2,0,0,0,40,124,40,99,115
Ernst & Young,2014,54,297184143,1388,1013,3073,87,54,0,0,0,0,190,1053,190,617,1052
Ernst & Young,2015,54,297184143,1408,1709,3654,49,78,18,0,0,0,639,1092,639,750,1100
Ernst & Young,2016,54,297184143,431,540,732,28,13,4,0,0,0,245,315,245,212,345
Ernst & Young,2011,55,368378534,218,5,46,39,9,0,6,6,0,6,57,6,77,49
Ernst & Young,2012,55,368378534,598,19,3945,24,108,0,11,11,0,108,290,108,274,131
Ernst & Young,2013,55,368378534,481,76,411,24,84,0,5,5,0,55,172,55,161,66
